,,Teams,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10
Iteration,1,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
,2,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
,3,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
,4,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
,5,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
,6,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
,7,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
,8,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
,9,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
,10,6,5,17,7,2,1,8,10,29,3
,,16,9,26,19,18,4,11,14,34,21
,,23,15,32,25,20,35,12,22,38,27
,,30,31,39,28,42,37,13,24,41,40
,,33,48,44,47,46,43,45,36,49,50
